文献,反应位置,底物,产物,中间体,催化剂,配体,溶剂,其它组分,条件（温度、时间、气氛、光源、波长等）,产率,dr,ee,er,直接从文献中抓取的提取错误,实验过程与操作顺序错误,文献中没有明确给出信息，需要模型进行推断，推断产生的错误
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry26; PDF pages: 23,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(Benzo[d]thiazol-5-yl)pentyl)benzamide (42.2 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,65%,,95%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry27; PDF pages: 23,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(1-(Phenylsulfonyl)-1H-indol-5-yl)pentyl)benzamide (65.7 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,74%,,95%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry28; PDF pages: 24,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(4-Chlorophenyl)ethyl)benzamide (32.2 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,62%,,90%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry29; PDF pages: 24,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(4-Chlorophenyl)butyl)benzamide (47.2 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,82%,,91%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry30; PDF pages: 25,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(4-Chlorophenyl)-3-methylbutyl)benzamide (48.1 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,80%,,96%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry31; PDF pages: 25,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(4-Chlorophenyl)-2-cyclohexylethyl)benzamide (55.4 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,81%,,95%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry32; PDF pages: 26,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(4-Chlorophenyl)-2-methylpropyl)benzamide (18.2 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,32%,,95%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry33; PDF pages: 26,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(4-Chlorophenyl)-2-phenylethyl)benzamide (44.0 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,66%,,94%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry34; PDF pages: 27,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(4-Chlorophenyl)-3-phenylpropyl)benzamide (49.3 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,70%,,89%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry35; PDF pages: 27,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)","N-((1R,2S)-1-(4-Chlorophenyl)-2-methylbutyl)benzamide (34.9 mg)",,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,58%,99:1,,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry36; PDF pages: 28,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(4-Chlorophenyl)but-3-en-1-yl)benzamide (46.2 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,81%,,91%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry37; PDF pages: 28,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",Methyl (R)-4-benzamido-4-(4-chlorophenyl)butanoate (36.7 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,55%,,88%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry38; PDF pages: 29,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",tert-Butyl (R)-(5-benzamido-5-(4-chlorophenyl)pentyl)carbamate (56.5 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,68%,,90%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry39; PDF pages: 29,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(4-Chlorophenyl)-3-(methylthio)propyl)benzamide (35.4 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,55%,,91%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry40; PDF pages: 30,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)","(2aR,4S,4aS,6R,9S,11S,12S,12aR,12bS)-9-(((2R,3S)-3-Benzamido-2-((4-((R)-1-benzamid-opentyl)benzoyl)oxy)-3-phenylpropanoyl)oxy)-12-(benzoyloxy)-4,11-dihydroxy-4a,8,13,13-tetramethyl-5-oxo-3,4,4a,5,6,9,10,11,12,12a-decahydro-1H-7,11-methanocyclodeca[3,4]ben-zo[1,2-b]oxete-6,12b(2aH)-diyldiacetate (148.1 mg)",,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,65%,99:1,,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry41; PDF pages: 31,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)","3-((R)-1-Benzamidopentyl)phenyl ((3R,5aS,6R,8aS,9R,10S,12R,12aS)-3,5a,6,9-tetramethyldecahydro-12H-3,12-epoxy[1,2]dioxepino[4,3-i]isochromen-10-yl)succinate (84.6 mg)",,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,65%,97:3,,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry42; PDF pages: 32,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)","((3aS,5aR,8aR,8bS)-2,2,7,7-Tetramethyltetrahydro-3aH-bis([1,3]dioxolo)[4,5-b:4',5'-d]pyran-3a-yl)methyl 4-((R)-1-benzamidopentyl)benzoate (90.1 mg)",,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,81%,96:4,,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry43; PDF pages: 33,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(4-(1-Phenyl-3-(trifluoromethyl)-1H-pyrazol-5-yl)phenyl)pentyl)benzamide (83.0 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,87%,,93%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry44; PDF pages: 34,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)",(R)-N-(1-(4-(2-(Quinazolin-4-yloxy)ethyl)phenyl)pentyl)benzamide (59.4 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,68%,,90%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry45; PDF pages: 35,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)","(2S,5R)-2-Isopropyl-5-methylcyclohexyl 4-((R)-1-benzamidopentyl)benzoate (72.3 mg)",,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,80%,96:4,,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry46; PDF pages: 36,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (36.2 μL, 0.30 mmol, 1.5 equiv)","(3S,8S,9S,10R,13R,14S,17R)-10,13-Dimethyl-17-((R)-6-methylheptan-2-yl)-2,3,4,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl 3-((R)-1-benzamidopentyl)benzoate (66.4 mg)",,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,49%,98:2,,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry47; PDF pages: 37,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (1c) (36.2 μL, 0.30 mmol, 1.5 equiv)","((3aS,5aR,8aR,8bS)-2,2,7,7-Tetramethyltetrahydro-3aH-bis([1,3]dioxolo)[4,5-b:4',5'-d]pyran-3a-yl)methyl 4-((R)-1-benzamido-3-methylbutyl)benzoate (80.6 mg)",,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,73%,98:2,,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry48; PDF pages: 37,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (1c) (36.2 μL, 0.30 mmol, 1.5 equiv)","((3aS,5aR,8aR,8bS)-2,2,7,7-Tetramethyltetrahydro-3aH-bis([1,3]dioxolo)[4,5-b:4',5'-d]pyran-3a-yl)methyl 4-((R)-1-benzamido-3-methylbutyl)benzoate (84.2 mg)",,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,76%,98:2,,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry49; PDF pages: 38,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (1c) (36.2 μL, 0.30 mmol, 1.5 equiv)","(S)-N-(1-(3,5-Dimethylphenyl)-3-methylbutyl)benzamide (44.3 mg)",,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,75%,,91%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry50; PDF pages: 38,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (1c) (36.2 μL, 0.30 mmol, 1.5 equiv)","(S)-N-(1-(3,5-Dimethylphenyl)-3-methylbutyl)benzamide (44.9 mg)",,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,76%,,92%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry51; PDF pages: 40,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (1c) (36.2 μL, 0.30 mmol, 1.5 equiv)",49 (3.72 g),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,67%,98:2,,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureB-Entry52; PDF pages: 40,"NHP ester (0.20 mmol, 1.0 equiv); Aryl bromide (0.30 mmol, 1.5 equiv); 1-phenylethnol (1c) (36.2 μL, 0.30 mmol, 1.5 equiv)",50 (1.04 g),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (2.2 mg, 0.002 mmol, 1%); NiBr2·glyme (6.2 mg, 0.020 mmol, 10%)",chiral ligand L,MeOAc (4.0 mL),"Na2CO3 (42.4 mg, 0.40 mmol, 2.0 equiv)",temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: in glovebox (reagents assembled) then sealed and transferred out of glovebox; light: 40 W blue LED lamp (Kessil PR160L); wl: 427 nm,70%,,91%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,NonGP-Entry1; PDF pages: 41,"Schwartz’s reagent (51.6 mg, 0.2 mmol, 2.0 equiv); 50 (29.5 mg, 0.1 mmol, 1.0 equiv)","(S)-1-(3,5-Dimethylphenyl)-3-methylbutan-1-amine hydrochloride (14.4 mg)",,,,THF (1.0 mL (0.1 M)),,temp: room temperature; time: 3 h; atm: in glovebox then transferred out of glovebox,63%,,91%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureA-Entry1; PDF pages: 42,"N‐Bz‐norleucine‐NHP ester (38.0 mg, 0.10 mmol, 1.0 equiv); 1-phenylethnol (18.1 μL, 0.15 mmol, 1.5 equiv); (3,3,3-Trifluoroprop-1-en-2-yl)benzene (15.0 μL, 0.10 mmol, 1.0 equiv)",53 (20.3 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (1.1 mg, 0.001 mmol, 1%); NiBr2·glyme (3.1 mg, 0.010 mmol, 10%)",dtbbpy; chiral ligand L,anhydrous MeOAc (2.0 mL),"Na2CO3 (21.2 mg, 0.20 mmol, 2.0 equiv)","temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: assembled in glovebox, vial sealed with a septum cap and wrapped with electrical tape, then transferred out of the glovebox; light: 40 W blue LED lamp (Kessil PR160L, 427 nm); wl: 427 nm",59%,,0%,,,,
metallaphotoredox‐catalyzed enantioselective cross‐electrophile coupling using alcohols as,GeneralProcedureA-Entry2; PDF pages: 42,"N‐Bz‐norleucine‐NHP ester (38.0 mg, 0.10 mmol, 1.0 equiv); 1-phenylethnol (18.1 μL, 0.15 mmol, 1.5 equiv); (3,3,3-trifluoroprop-1-en-2-yl)benzene (15.0 μL, 0.10 mmol, 1.0 equiv)",53 (23.0 mg),,"Ir[dF(CF3)ppy]2(dtbbpy)PF6 (1.1 mg, 0.001 mmol, 1%); NiBr2·glyme (3.1 mg, 0.010 mmol, 10%)",dtbbpy; chiral ligand L,anhydrous MeOAc (2.0 mL),"Na2CO3 (21.2 mg, 0.20 mmol, 2.0 equiv)","temp: room temperature then 25 °C; time: 30 min then 1 min then 12 h; atm: assembled in glovebox, vial sealed with a septum cap and wrapped with electrical tape, then transferred out of the glovebox; light: 40 W blue LED lamp (Kessil PR160L, 427 nm); wl: 427 nm",67%,,,,,,
